,list_price_dkk,rooms,home_size_m2,lotsize_m2,expenses_dkk,balcony,floor_as_int,m2_price,zipcode_avg_m2_price,age,Zipcode_1300,Zipcode_1600,Zipcode_1799,Zipcode_1900,Zipcode_2000,Zipcode_2100,Zipcode_2150,Zipcode_2200,Zipcode_2300,Zipcode_2400,Zipcode_2450,Zipcode_2500,Zipcode_2700,Zipcode_2720,Zipcode_2770,Zipcode_2900,Hometype_Andelsbolig,Hometype_Ejerlejlighed,Hometype_Fritidshus,Hometype_Rækkehus,Hometype_Villa,Hometype_Villalejlighed
0,3295000.0,3.0,76,955.0,3426.0,2,4,43355.26315789474,49171.014350839054,87.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,3795000.0,2.0,72,0.0,2699.0,2,7,52708.333333333336,58670.47911762888,49.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,5295000.0,4.0,101,0.0,3443.0,2,2,52425.74257425743,58670.47911762888,114.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,5495000.0,4.0,105,0.0,4563.0,0,4,52333.333333333336,58670.47911762888,130.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,5895000.0,4.0,104,0.0,4569.0,2,2,56682.692307692305,49171.014350839054,91.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,5995000.0,4.0,96,0.0,3562.0,2,4,62447.916666666664,58670.47911762888,123.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,1795000.0,3.0,64,0.0,2515.0,0,0,28046.875,49171.014350839054,121.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,2850000.0,2.0,69,0.0,2325.0,2,2,41304.34782608696,49171.014350839054,49.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,3395000.0,3.0,75,0.0,3174.0,2,1,45266.666666666664,49171.014350839054,108.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,3800000.0,2.0,63,0.0,2372.0,0,1,60317.46031746032,58670.47911762888,107.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
