ID,home_url_boliga,home_url_realtor,street_name_number,zip_code_town,Home_type,list_price_dkk,rooms,home_size_m2,built_year,lotsize_m2,expenses_dkk,description_of_home,floor,retrieved_on
home_id_1,https://www.boliga.dk/bolig/1714831/nordre_fasanvej_178_4_th_2000_frederiksberg,https://www.lokalbolig.dk?sag=15-X0000630&mgl=3526,"Nordre Fasanvej 178, 4. th.,",2000 Frederiksberg,Ejerlejlighed,3295000,3,76,1934,955,3426,"Veldisponeret lejlighed med to altaner og charmerende detaljer. Øverst oppe i en klassisk murstensejendom fra 1934 byder denne treværelseslejlighed på et dejligt kig over byens tage, ligesom beliggenheden mellem Frederiksberg og Nørrebro giver et skønt mix af stemningsfyldte gader og grønne åndehuller. Lejlighedens gode planløsning udfolder sig med charmerende detaljer i stuen og et moderne udtryk i det store spisekøkken, mens badeværelset er udført med separat brus. I bosætter jer desuden i en sund ejerforening med et stærkt sammenhold blandt opgangens mangfoldige sammensætning af unge studerende og nybagte børnefamilier.. Øverst oppe i en klassisk murstensejendom fra 1934 byder denne treværelseslejlighed på et dejligt kig over byens tage, ligesom beliggenheden mellem Frederiksberg og Nørrebro giver et skønt mix af stemningsfyldte gader og grønne åndehuller. Lejlighedens gode planløsning udfolder sig med charmerende detaljer i stuen og et moderne udtryk i det store spisekøkken, mens badeværelset er udført med separat brus. I bosætter jer desuden i en sund ejerforening med et stærkt sammenhold blandt opgangens mangfoldige sammensætning af unge studerende og nybagte børnefamilier.. Et tidløst spisekøkken. Det er i høj grad kombinationen af bordpladens varme glød og det strømlinede design med grebsløse fronter, der får køkkenet til at udstråle elegant tidløshed. Her vil madduften sprede sig fra den integrerede kogezone og den ergonomisk placerede ovn, mens de milde sommerbriser strømmer ind fra den store altan.. Sjæl og charme. Med lyse trægulve og bedårende stukkaturer hersker der en helt særlig stemning i den indretningsvenlige stue, hvor det vestvendte vinduesparti med tilhørende altandør fordeler et naturligt lysindfald i det hyggelige rum. Der er også god plads på de to værelser, som gør lejligheden attraktiv for mange forskellige familie- og rumboskonstellationer.. Sol i lange baner. De to altaner udfolder sig mod både øst og vest, hvorfor der er rig mulighed for at nyde solen dagen igennem. Udsigten er tilmed skøn med kig til grønne trækroner og røde tagrygge. Sommerens lune timer kan selvfølgelig også tilbringes på fællesarealerne, hvor den alsidige beplantning skaber et atmosfærefyldt udemiljø.. Det bedste af Frederiksberg og Nørrebro. Med en beliggenhed midt mellem det stemningsfyldte miljø på Frederiksberg og det summende byliv på Nørrebro får I det bedste fra begge de to bydele her på Nordre Fasanvej 178. De rekreative områder i Nørrebroparken ligger bare en kort gåtur væk, og i det nærliggende Fuglekvarter venter hyggelige rammer om de rolige spadsereture. Til fods kommer I ligeledes let til S-togsstation såvel som metrostation, mens børnefamilien kan glæde sig over den korte afstand til skoler og pasningstilbud.",4. sal,2020-10-15
home_id_2,https://www.boliga.dk/bolig/1714608/platanvej_6__7_2_1810_frederiksberg_c,https://danbolig.dk/bolig/frederiksberg/1810/ejerlejlighed/314nl-00134-314,"Platanvej 6  7. 2.,",1810 Frederiksberg C,Ejerlejlighed,3795000,2,72,1972,0,2699,"Indflytningsklar, moderne toværelses lejlighed med altan, hvorfra du bare må opleve udsigten over byen. med sin placering på 7. sal bliver larmen nede på gadeplan, og når du træder ind i lejligheden, er det kun udsigten, der vidner om boligens centrale placering.PLACERING, SOM OPFYLDER ENHVER STORBYELSKERS DRØMDu kommer nærmest ikke tættere på byliv, kulturelle oplevelser og shoppemuligheder med Gl. Kongevej, Værnedamsvej og Vesterbrogade i gåafstand. Grønne områder som Frederiksberg Have og Søndermarken kan nås inden for 5-10 minutters gang. Snart åbner Frederiksberg Allés nye Mad- og Kulturhus lige ved siden bygningen.METRO FORBINDER DIG MED RESTEN AF BYENMed metroen, som er placeret 50 m. fra hoveddøren, kan du nemt og hurtigt komme byen rundt. Det tager dig blot fire minutter at komme til hovedbanegården, og efter ni minutter står du midt på Kongens Nytorv. FANTASTISK UDSIGT OG STOR, SOLRIG ALTANMens du om vinteren kan nyde udsigten fra stuen, soveværelset og køkkenet, kan du om sommeren træde ud og nyde solen på den sydvendte altan, som flugter langs hele lejligheden. Her på første parket til solens stråler har du plads til den urbane have, gasgrillen og solbadningen, mens du kan se ned på ejendommens hyggelige gårdmiljø.GENNEMRENOVERET I MODERNE OG MINIMALISTISK STILDet massive parketgulv, som dækker hele lejligheden, blev renoveret i 2018, hvor alle vægge og lofter også blev fuldspartlet, beklædt med filt og malet.Det minimalistiske køkken med massiv egetræsbordplade og tilhørende spiseplads er istandsat i 2018 med quooker, induktionskogeplade, hævet pyrolyseovn, mikroovn, opvaskemaskine samt en skjult, indbygget vasketørremaskine. Badeværelset med kar og brus er renoveret i 2015 i tidsløst design med store hvide klinker på væggene. Gulvet er belagt med store, mørke klinker med let spil og variation. Gulvvarmen sikrer, du ikke får kolde fødder om vinteren. Du får masser af skabsplads. I soveværelset er der store indbyggede skabe, og i gangen et stort gaderobeskab.Stuen er lys, ligesom alle andre rum. Størrelsen på rummet giver dig rig mulighed for at være kreativ med indretningen - f.eks. er der god plads til et spisebord i den ene ende og en sofagruppe i den anden.PRIVAT PARKERINGSPLADS, KÆLDERRUM OG FÆLLESFACILITETERTil boligen hører egen parkeringsplads, kælderrum og fællesfaciliteter som vaskerum, fitnessrum og bordtennisrum. Der er desuden mulighed for leje af festlokale eller ekstra soveværelse til overnattende gæster",7. sal,2020-10-15
home_id_3,https://www.boliga.dk/bolig/1714639/rosenoerns_alle_34__2_tv_1970_frederiksberg_c,https://danbolig.dk/bolig/frederiksberg/1970/ejerlejlighed/314cj-00034-314,"Rosenørns Alle 34  2. tv.,",1970 Frederiksberg C,Ejerlejlighed,5295000,4,101,1907,0,3443,"Det er svært rigtigt at sætte fingeren på noget der mangler i denne fornemme herskabslejlighed på Rosenørns Allé på Frederiksberg. Det er en fireværelses lejlighed, der blandt andet kan prale med en loftshøjde på 2,85 meter, smuk stuk og to stuer med henholdvis karnap og en velfungerende brændeovn. Velkommen til!Lejligheden ligger på anden sal i en nydelig rødstensejendom fra 1907. Som boligejer får du også adgang til ejendommens flot beplantede gårdhave, til en cykelkælder samt til eget loftsrum. Du vil også sætte pris på, at der ligger en REMA 1000 lige overfor bygningen, og du har ikke engang 50 meter til metroen ved Forum. H.C. Ørstedsvej er fyldt med butikker og gode spisesteder, og så har du tilmed en Fitness world på en af sidegaderne. Du kommer til at bo midt imellem Nørrebro og Frederiksberg og kan således nyde godt af begge bydeles goder.Boligen er belagt med velholdte gulvplanker, og såvel lofter som vægge står glatte og hvide. Lejligheden tager sig allerbedst ud i de to hyggelige stuer en suite. Det er især her, at man kan mærke loftshøjden, der skaber en skøn atmosfære i rummene. Det samme kan siges om karnappen i den ene stue, der både giver et flot udsyn over til Forum og metroen og samtidig skaber et godt lysindfald i rummet. I den anden stue kan du i stedet lade brændeovnen slå stemningen an. Køkkenet står nydeligt med hvide, grebsfrie elementer og en kontrasterende sort bordplade. Her er gasblus, og alle hvidevarer er indbygget i elementerne - inklusiv en vaskemaskine. Badeværelset står også pænt og moderne og har både gulvvarme, håndklædevarmer og muret brusenice med glasdør. Boligen indeholder derudover to soveværelser - det ene er dejligt stort og det andet har udgang til altanen. Og ja, her må man gerne (gas)grille.Ring og bestil en fremvisning i dag!",2. sal,2020-10-15
home_id_4,https://www.boliga.dk/bolig/1714860/kingosgade_13_4_th_1818_frederiksberg_c,http://www.jespernielsen.dk/redirect.php?sagsnr=JNF01298&mgl=2607&DID=135&udbudsform=salg,"Kingosgade 13, 4. th.,",1818 Frederiksberg C,Ejerlejlighed,5495000,4,105,1891,0,4563,"Ønsker du en vurdering af dit hjem? klik her. ÅBENT HUS MED TILMELDING SKAL SKE TIL THZ@JESPERNIELSEN.DKDet er ikke svært at forstå, hvorfor dette er en eftertragtet beliggenhed. Lejligheden ligger nemlig i gåafstand fra Frederiksberg Have, Værnedamsvej og Frederiksberg Alle. Udover at købe jer til en god adresse, så får I også et hjem med en indbydende atmosfære, hvor man hurtigt vil føle sig hjemme. Lejligheden virker stor og rummelig.Lejligheden ligger i en klassisk ejendom med en murstensfacade i en varm nuance og en kombination af frederiksbergvinduer og dannebrogsvinduer. På bagsiden af bygningen ligger et gårdmiljø med flere forskellige solkroge og et særdeles velplejet udtryk. Kvadratmeterne er udnyttet på bedste vis, så der eksempelvis er tilknyttet hems til hver af de tre værelser. Dette giver rig mulighed for en kreativ indretning, ligesom der er en særdeles god loftshøjde med loft til kip og ovenlysvinduer, som giver en luftig og lys atmosfære. Der er et rummeligt og pænt badeværelse. Dertil kommer den store stue, hvis arkitektoniske udformning ved vinduerne giver rummet et karakteristisk udtryk. Det lyse og rummeige køkken byder på en god spiseplads. Udover at lukke et skønt lysindfald ind, så åbenbarer et flot udkig over byens hustage sig fra vinduerne takket være den gode placering på øverste sal.I får adresse på Kingosgade, som ligger i et af Frederiksbergs mest attraktive områder omkring Frederiksberg Allé og lige på grænsen til Vesterbro. Til hverdagens fornødenheder ligger indkøbsmuligheder, offentlig transport, skole og daginstitutioner tæt ved, mens også byens mange muligheder såsom take-away, lækre spisesteder, kulturelle tilbud og butikker omgiver adressen. Der er 300 mtr. til Frederiksbergs nye Metro.. Få nyhederne før alle andre ved at følge os på vores sociale medier:. Når du bestiller en fremvisning, godkender du at vi gemmer de ovenfor indtastede personoplysninger og at vi må kontakte dig telefonisk eller via e-mail i henhold til vores persondatapolitik. Se denne under ""værd at vide"".. Når du bestiller salgsmateriale, godkender du at vi gemmer de ovenfor indtastede personoplysninger og at vi må kontakte dig telefonisk eller via e-mail i henhold til vores persondatapolitik. Se denne under ""værd at vide"".. Når du afgiver et bud, godkender du at vi gemmer de ovenfor indtastede personoplysninger og at vi må kontakte dig telefonisk eller via e-mail i henhold til vores persondatapolitik. Se denne under ""værd at vide"".. Når du efterspørger en salgsvurdering, godkender du at vi gemmer de ovenfor indtastede personoplysninger og at vi må kontakte dig telefonisk eller via e-mail i henhold til vores persondatapolitik. Se denne under ""værd at vide"".",4. sal,2020-10-15
home_id_5,https://www.boliga.dk/bolig/1714669/nordre_fasanvej_33b_2_th_2000_frederiksberg,https://home.dk/boligkatalog/frederiksberg/2000/ejerlejligheder/nordre_fasanvej_33b_2_th_1280000118.aspx,"Nordre Fasanvej 33B, 2. th.,",2000 Frederiksberg,Ejerlejlighed,5895000,4,104,1930,0,4569,"FREDERIKSBERG

                    INDFLYTNINGSKLAR HERSKABSLEJLIGHED MED ALTAN I EJENDOM MED ELEVATOR

                    Det er med stor fornøjelse, at vi kan byde velkommen i denne nyrenoverede herskabslejlighed på Frederiksberg. Lejligheden byder på smukke detaljer og 4 veldisponerede værelser og der er tilmed en sydvendt altan. Boligen er placeret på anden etage i en klassisk rødstensejendom med elevator, hvori parret, seniorerne eller den lille børnefamilie kan udfolde deres nye tilværelse som “frederiksbergensere”.  Lejligheden har netop fået afsluttet en gennemgribende renovering, og fremstår således 100% indflytningsklar. Her er flotte stuklofter, rosetter, karnap og nye eksklusive gulve og den omtalte renovering er yderst gennemført og udført med respekt for de klassiske detaljer der kendetegner en rigtig herskabslejlighed.   Lejligheden byder på 104 kvadratmeter fordelt med to stuer i forlængelse af hinanden, hvilket skaber et naturligt forløb gennem lejligheden. Dertil er der to soveværelser; ét med hems, samt køkken og badeværelse med separat bruseniche.  Køkkenet fremstår i et eksklusivt, tidløst design med messing greb, moderne spots samt lyse facader, hvori man får lyst til at tilbringe tid på madlavningen. Samme stil fortsætter i badeværelset med armatur og knager i samme gyldne farve. Fra lejlighedens ene soveværelse er der udgang til en hyggelig, sydvendt altan, hvorfra I kan skue over foreningens gårdmiljø, der er ekstra fordelagtigt i sommermånederne.  Med en adresse midt på Frederiksberg er I sikret byens spændende tilbud fra ende til anden. Området prydes af caféliv, butikker og indkøb – samtidig med, at det indbydende forretningsstrøg ved Frederiksberg Centret og Falkoner Allé venter lige rundt om hjørnet. Fasanvej metro er bogstaveligt talt et stenkast fra hoveddøren, hvorfra kørsel til det øvrige af København er nemt og bekvemt.  Velkommen!",2. sal,2020-10-15
home_id_6,https://www.boliga.dk/bolig/1714668/dr_abildgaards_alle_16_4_th_1955_frederiksberg_c,https://home.dk/boligkatalog/frederiksberg/1955/ejerlejligheder/dr_abildgaards_alle_16_4_th_1280000222.aspx,"Dr. Abildgaards Alle 16, 4. th.,",1955 Frederiksberg C,Ejerlejlighed,5995000,4,96,1898,0,3562,"FREDERIKSBERG C

                    INDFLYTNINGSKLAR LEJLIGHED MED ALTAN, KØKKEN-ALRUM OG GOD BELIGGENHED PÅ INDRE FREDERIKSBERG

                    Det er med stor fornøjelse, at vi kan byde velkommen i denne indflytningsklare lejlighed med stilsikre løsninger og en suveræn beliggenhed. Lejligheden ligger på Dr. Abildgaards Alle, hvor flotte allé træer og smukke bygninger omkranser lejligheden. Foruden den gode beliggenhed, så byder lejligheden også på en stor vestvendt altan. En ideel lejlighed for parret eller den lille familie.    Indvendigt fremstår lejligheden lys og rummelig. Nuværende sælger har åbnet op mellem stue og ind til køkken-alrummet, hvilket betyder, at lyset vælter ind. Køkken-alrummet fremstår med god spiseplads og højt til loftet. Selve køkkenet er moderne indrettet i en tidløs stil med hvide elementer, som har indbyggede greb, og der er godt med bordplads til den daglige madlavning samt masser af opbevaringsplads. Lejligheden, som er på 96 m2, består ydermere af to værelser og et bad. Badeværelset har en separat bruseniche og er holdt i hvide fliser på væggen og grå fliser på gulvet. Det store værelse har indbyggede skabe, hvoraf den ene ende er viet til blandt andet en tørretumbler, mens den anden ende er disponeret som klædeskab. Boligen bærer i det hele taget præg af at være godt udnyttet og funktionelt indrettet med tanke på både praktiske løsninger, som tidløse, æstetiske finesser. Stukloftet er bibeholdt i stuen, og et lækkert, velholdt trægulv går igen i hele lejligheden, der står klar til at blive jeres nye hjem.   Ejendommen er opført i 1898 og ligger tæt på et af Frederiksbergs trafikale pulsårer - Falkoner Allé - alligevel er der fredfyldt på fjerde sal, uden støjgener. I nærheden finder I en anden fredfyldt oase - Landbohøjskolens Have, der er en park med rosenhave og varieret botanik. Supermarkeder, caféer og Frederiksbergcenteret ligger mindre end 500 m væk, og det samme gælder den nærmeste daginstitution og skole. Den offentlige transport - busser og metro - er heller ikke langt væk. Lejligheden ligger 600 m fra Frederiksberg Metrostation, der har gode forbindelser til resten af København, og det nærmeste busstoppestedet ligger 70 m nede ad vejen.   Vi glæder os til at give jer en fremvisning af denne skønne bolig.",4. sal,2020-10-15
home_id_7,https://www.boliga.dk/bolig/1714448/nordre_fasanvej_146_st_th_2000_frederiksberg,https://www.realmaeglerne.dk/bolig/116-8349-nordre-fasanvej-146-st-th,"Nordre Fasanvej 146, st. th.,",2000 Frederiksberg,Andelsbolig,1795000,3,64,1900,0,2515,"Velkommen til denne flotte andelsbolig, godt beliggende med gå-afstand til alt. Du bliver budt velkommen indenfor. Flot og rummelig badeværelse, pænt lyst køkken med god plads. Stort soveværelse med masser er lys, luft og højt til loft. Fra den lyse entre går man videre til den store stue, der tidligere har været opdelt da andelen rent faktisk er en 3 værelses lejlighed. Så hvis du ønsker en dele lejlighed kan du blot sætte væg op igen, dør hullet findes stadig dog skjult den dag i dag, men lige til at trylle frem. Er I to og elsker god plads så behold andelen som den er og flyt ind.Kort fortalt en flot, indflytningsklar lejlighed med nogle meget veludnyttede m2 i en super god andelsforening!Du flytter her ind i en sund ejendom fra 1900 med rigtigt mange fine faciliteter og fordele: Herunder bl.a., fjernvarme, cykelkælder, tørreloft, Yousee grundpakke inkl. i boligydelsen, hyggelig gård, dørtelefon med kamera/video og brusret til kælder og loftrum. Ejendom har fået renoveret facade samt udskiftet vinduerne til lydisoleret vinduer - Alt sammen uden at boligydelsen steg.Området er yderst populært kvarter tæt på Frederiksberg svømmehal, attraktive caféer, gode spisesteder og metro. Nærliggende har du indkøbsmuligheder og specialforretninger på Godthåbsvej, Smallegade, Gammel Kongevej og Falkoner Allé. Tager man cyklen, ligger Frederiksberg Have, Frederiksberg Centret og CBS få minutter fra lejligheden - det bliver ikke meget bedre!.. Læs mindre...",0. sal,2020-10-15
home_id_8,https://www.boliga.dk/bolig/1714447/finsensvej_34_2_3_2000_frederiksberg,https://www.realmaeglerne.dk/bolig/116-8351-finsensvej-34-2-3,"Finsensvej 34, 2. 3.,",2000 Frederiksberg,Ejerlejlighed,2850000,2,69,1972,0,2325,"Velkommen til denne skønne to'erVi bliver budt velkommen i god entre med direkte åbning til det flotte køkken, hvor der er god plads til at folde sig ud med alle sine mad talenter. Fra køkken/entre er der adgang til rummeligt soveværelse med godt udnyttet skabsvæg. Badeværelset er med lyse fliser og god separat brusekabine. Fra badeværelse går vi ud i mindre fordelingsgang her er der indgang til den store stue, men yderliggere er der et disponibeltrum, som byder på en masser muligheder - det kunne være drømmen om et walk-in eller måske bare lidt ekstra plads til opbevaring.Hjerterummet er den store lyse stue, hvor det nye store skydedørsparti, har en fransk altan så der kan åbnes op i begge ender af lejligheden. Lyset er fantastisk i stuen og der er god plads til spisebordet til gæster omkring samt sofahyggen og det store tv.Ejendommen er velholdt og byder på en velordnet ejerforening med sund økonomi, 54 lejligheder og ingen fælleslån. Endvidere fjernvarme, kabel-tv, skønt gårdmiljø, godt naboskab m.v. Til lejligheden hører også brugsret til godt separat kælderrum og yderliggere et vaskerum hvis man ikke ønsker vaskemaskine i lejligheden.Du kommer til at bo centralt i det attraktive Frederiksberg med kort gåafstand til Lindevangsparken. Lindevang- og Fasanvej metrostationerne findes begge lige om hjørnet ligesom både Fitness World samt en ny, lækker svømme- og gymnastikhal er indenfor kort gåafstand. Indkøbsmuligheder findes lige udenfor døren eller i Frederiksbergcentret. Kort fortalt bor man yderst centralt og med super nem adgang til alle klassiske hverdagsbehov samt uddannelsesinstitutioner bl.a. CBS. Ses vi på Finsensvej 34?.. Læs mindre...",2. sal,2020-10-15
home_id_9,https://www.boliga.dk/bolig/1714217/borups_alle_114_1_tv_2000_frederiksberg,https://www.nybolig.dk/ejerlejlighed/2000/borupsalle/270123/31nm1426,"Borups Alle 114 1 tv,",2000 Frederiksberg,Ejerlejlighed,3395000,3,75,1913,0,3174,"VELHOLDT LEJLIGHED MED UFORSTYRRET ALTAN. Her er en klassisk treværelses lejlighed på 75 m2 med stukloft og trægulv, der dog har en mere opdateret indretning med en rå murstensvæg i stuen, som giver et flot modspil til de hvide vægge. Boligen har to værelser, der kan indrettes efter behov, og de er adskilt af en entre, hvilket gør lejligheden delevenlig. Det ene værelse har en altan, som vender ud mod gården, så morgenkaffen kan nydes i fred og ro fra den travle trafik på Borups Allé. Pladsen i badeværelse og køkken er udnyttet optimalt, ligesom det lyse design fra resten af lejligheden går igen i badeværelsets hvide fliser og køkkenets hvide elementer, der dog afbrydes af en enkelt, sjov detalje: en låge med sort tavlelak, hvor I kan efterlade små beskeder eller praktiske noter til hinanden.. Ejendommen er fra 1913, og en dejlig gård med terrasse, græsplæne og legeplads giver jer mulighed for et rigt udeliv i sommerhalvåret med lyse grillaftener og lange dasedage i græsset, da der hører både solstole og almindelige havemøbler til området. Der er gjort noget ud af at indrette gården i forskellige rum, så det er muligt at have det lidt privat.. Lejligheden ligger midt i Borups Allés forretningsliv, og der er derfor ikke langt til supermarkeder og andre butikker. Jægersborggade – et af Nørrebros hotspots – ligger i 10 minutters gåafstand, og her kan I virkelig forkæle jer selv med restaurant- eller cafébesøg eller nyde stemning i gaden, der er fyldt med små specialforretninger. Nørrebroparken er en anden attraktion, som ligger lige i nærheden, hvis gården bliver for lille til boldspil, eller I bare ønsker at gå en god tur – måske helt hen til Assistents-kirkegården, et andet af Nørrebros vartegn.. BOOK EN FREMVISNING NU HOS NYBOLIG MUNCH & BJERREGAARD!",1. sal,2020-10-15
home_id_10,https://www.boliga.dk/bolig/1714194/sankt_nikolaj_vej_2_1_th_1953_frederiksberg_c,https://www.DitogMitFrb.dk/sag.aspx?sagsnr=ST0088&mgl=2659&DID=135&udbudsform=salg,"Sankt Nikolaj Vej 2, 1. th.,",1953 Frederiksberg C,Ejerlejlighed,3800000,2,63,1914,0,2372,error in get_realtor_home_description,1. sal,2020-10-15
